,descriptions
4593,"Valuable retrospective of seminal, early 90s NYC House jams produced by Victor Simonelli"
4594,"Heavy, grinding, dark big room Techno pounders"
4595,Atmospheric DJ tool House tracks
4596,Uplifting bouncy House warmth
4597,Reissue of Steve Rachmad prod. mid-90s Detroit oriented Techno classics
4598,Reissue of Steve Rachmad prod. original (Dub) Techno EP from 1996
4599,Hard hitting forceful Techno pounders
4600,Uplifting dubby House shakers
4601,Effective dubbed out Techno/House stompers
4602,Tough Drum & Bass pressure
4603,Straight ahead techno floorfiller
4604,Stripped-out deep space Detroit techno
4605,"Detroit party sounds feat. Andrés, DJ Minx and Mr. Joshooa"
4606,"Comprehensive, minimalist Techno / House / Electro compilation"
4607,"Blissful, crystal-clear, Colundi tuned Ambient / Electronica voyage"
4608,Big room optimized Techno
4609,Dark & melancholic Dubsteps tracks
4610,Mini-compilation showcasing fresh Uk Bass / UKG updates
4611,Classy label mini-compilation of warm House DJ tools
4612,Dark & heavy Dubstep cuts
4613,Reissue of ultra-deep House classic incl. Terrence Parker mixes
4614,Reissue of superbly swinging Detroit House from 1997
4615,Reverberated stripped down Techno
4616,"""..a hilarious and poignant spoken work of rewarding density.."""
4617,Hypnotic Techno trips
4618,Atmospheric UK House/Downbeat w/ slightly Pop feel
4619,Flawless Techno business
4620,Superb varied Techno/Electronica mini-compilation
4621,Distorted raw Electro-Techno rhythms w/ romantic B side
4622,Effective Breakbeat-Techno pounders
4623,"Wicked, spheric Drum & Bass / Jungle EP"
4624,"Blissful, deep atmospheric Jungle / Drum & Bass EP"
4625,"Diverse hypnotic, mechanic to bleep, atmospheric Techno explorers"
4626,"Warm, blinding Deep House class - tip!"
4627,Cinematic Drum & Bass excursions
4628,"Impressive, expansive Ambient/ Electronica sound odysee"
4629,"Forceful, hammering Techno planks"
4630,"Dreamy, twisted IDM-ish / UK Bass rooted Electronica EP"
4631,Tough puming Techno grooves
4632,Effective big room Dub Techno stompers
4633,"Warm, heavily US Deep House rooted, expert House bliss"
4634,"Crisp, techy, expertly twisted, leftfield Techno rollers"
4635,"Classy & crafty, flawlessly genre crossing House journey"
4636,Expanded 30th Anniversary Edition reissue of classy Kirk Degiorgio produced warm atmospheric 90s Detroitish Techno set
4637,"Classy, warm, off-kilter Deep House class"
4638,"Twisted, vibrant, IDM flavored Downtempo / Electro cuts"
4639,"Fine deep, acidic Techno trips"
4640,Ace Techno/House grooves from a truly master
4641,Fine from deep to pumping remix treatment
4642,Effective pushing Techno workouts
4643,Fast-paced solid Detroit deep house
4644,Laid back deep jazzy house
4645,Reissue of Kyle Hall & Steven Julien prod. white vinyls
4646,Essential Detroit Deep House
4647,"Varied & colourful, carefully pulsating Electronica EP"
4648,"Blissful, crystal-clear, Colundi tuned Ambient / Electronica voyage"
4649,Slowed down no prisoners taking Techno roller
4650,Atmospheric deep Dub House set w/ additional Ambient track
4651,Heavy fusioned Drum & Bass / House cuts
4652,"Between techy & deep, retroesque House album"
4653,Forward pushing gloomy warehouse Techno
4654,Explorative leftfield Electronica takes
4655,Crafty Drum & Bass workouts
4656,Cripsy Drum & Bass roller
4657,"Mesmerizing, vibrant  Techno deepness"
4658,Playful tribal Bass to atmospheric Breakbeat adventures
4659,Fluid & diverse Footwork / Drum & Bass / Bass to UK Techno compilation
4660,"Remastered version of remarkable, melancholic Ambient / Drone / Modern Classical Electronic sonic gravities (w/ download code)"
4661,Groovy classic deep House cuts
4662,"Highly effective, mesmerizing Techno EP"
4663,"Effective Techno bangers, diverse colored vinyls"
4664,Trippy dubbed out Techno EP
4665,Splitted into dubbed out & hard pumping Techno
4666,Flawless Techno business
4667,Impressive Ambient / Drone / Modern Classical Electronic soundscapes (w/ download code)
4668,"Effective, groovy Techno floor fillers"
4669,"Excellent, warm, focussed, atmospheric House cuts"
4670,"Raw, acidic Industrial Techno/Electro"
4671,"Fresh, vibrantly freestyling, IDM integrating UKG / Techno hybrids"
4672,Flexing & uplifting trancy (Tech) House EP
4673,"Bouncing, trancy Electro tunes"
4674,Dense fiery Techno grooves
4675,"Ace effective, driving Techno w/ Techno derived stepper"
4676,Funky UK Garage cuts
4677,Mellow Detroit house grooves
4678,"Classy, breakbeatish to electroid, deep Detroit Techno excursions"
4679,"Archival release presenting beautiful, touching vocal cuts recorded 1977 - 1985"
4680,Pumping big room House slammers
4681,"Superb, funked up, per se twisted House class"
4682,Crisp Techno hypnotics
4683,"Precise, intriguing  acoustic sound exhibitions (w / download code)"
4684,Industrial sound-shaping avant garde Experimental / Drone / Noise to Ambient works (w / download code)
4685,Flawless Techno business
4686,Classy soulful Detroit Electro flights
4687,Killer Dubstep / Grime infused EP
4688,Hard-hitting anthemic Rave Techno
4689,"Acidic, percussive & trance-like techy House"
4690,"Blissful, crystal-clear, Colundi tuned Ambient / Electronica voyage"
4691,"Warm, acidic Dub House class"
4692,"Possessed, nightmarish Ambient/Bass wonders"
4693,Dark Post-Punk / New Wave LP
4694,Stunning (Tech-) House drifts
4695,Excellent breakbeat based Techno cuts
4696,"Hazy, laid back lo-fi Electronic / Breakbeat EP"
4697,Killer high-impact big room Techno bomb
4698,"Powerful, spheric, percussive (Dub) Techno crafts"
4699,Dark stomping Techno
4700,Effective boomy Techno DJ tools
4701,"Effective, boomy, spacey Techno trips"
4702,Ace effective Techno stompers
4703,Effective boomy Techno space trips
4704,Effective dark Techno stompers
4705,Effective tripped out Techno album
4706,Effective tripped out Techno stompers
4707,Hard pounding Techno
4708,"Playful, acidic Techno-Trance"
4709,Flaawless Techno business
4710,Essential deep hard-edged house tracks
4711,"Groovy, big room Techno pressure"
4712,"Complex,, bending IDM / Techno w / Drum & Bass touch explorations"
4713,"Effective, boomy, tripped out Techno collaboration"
4714,"Far out, uplifting Techno / Electro(nica) swingers"
4715,Deep (Ambient) Techno trips
4716,"Immersive, dark Ambient / Experimental / Noise EP"
4717,Excellent early 90s House / Techno revivalism
4718,Rabih Beaini’s spiritual Cosmic Jazz project delivers full sound track for intergalactic traveling (w/ download code)
4719,"Andrea Neumann, Sabine Ercklentz & Mieko Suzuki delivering outstanding, Noise & Electro-accoustics appreciating Electronics explorer"
4720,"Adventurous, psychedelic noise appreciating sound explorations"
4721,"""...massive and powerful orchestral sections leading to a breathtaking trance-like state of mind..."" - comes in luxury package"
4722,Genre-bending collaborative samples & loops explorations
4723,Pulsating sound textures w/ noisy synth explorations
4724,Melancholic soundscapes / Pulsating bleeps
4725,Inc. download cards with 8 additional ambient tracks
4726,"Raw, wild, out-there psycedelic cuts"
4727,"Hard-hitting, rave Acid / Techno EP"
4728,Experienced Electro bangers
4729,Energetic Electro tracks
4730,Lethal Grime cuts b/w powerful Eusebeia remix
4731,"Dark, heavy, stomping Techno EP"
4732,"Dream team Techno set in deadly DJ tool weapon mode alongside pulsating, chilled drifters"
4733,"Vitalising & convincing IDM-Techno-Ambient integration, 2023 repress (w/ download code)"
4734,Big room optimized Techno stompers
4735,"Effective , boomy, forceful Techno album"
4736,Classy stripped down 90's House grooves
4737,Valuable compilation presenting a defining selection for Glasgow's long time running party
4738,"Hypnotic, stripped back Techno EP"
4739,Fine Tech House / Grime rhythm hybrids
4740,"Fresh, flawless UK Techno / Breakbeat / Hardcore (continuum) album"
4741,"Refreshingly Eastern flavored, ace leftfield Techno set, 2023 repress"
4742,Raw leftfield Electronica album
4743,"Minimalist, widely reverberating pure Ambient Electronic album (w/ download code)"
4744,"Ace, raw Industrial Techno Album"
4745,"Heavy, cinematic 1980s New Wave / Industrial leaning Techno album"
4746,"Raw, playfully spaced out House trips"
4747,"Ace, dark, lethal Industrial Techno album"
4748,"Raw, Industrial tinged, sparse Techno album"
4749,"Ace, industrial-esque & electroid Techno trips produced by Takafumi Okada"
4750,Latest orders from the Techno forefront (2022 repress)
4751,Harder minimalist Techno tools
4752,"Captivating, syncretic, Lagos soundscapes suffused Ambient Jazz Electronica immersion, luxurious gatefold cover - Tip! (w/ download code)"
4753,Slow floating Dub-Techno journeys
4754,"Eyxtended, sparse Ambient excursions"
4755,"Dubbed out, slowy drifting Ambient / House grooves"
4756,Uplifting 90's Deep House grooves
4757,"Exciting, driving UK-Breakbeat / (Tech) House EP"
4758,"Direct, raw, metallix Drum & Bass tunes"
4759,Wide range House / Electro to Techno compilation
4760,Fine deeply rooted Dub tune
4761,"Beautiful, minimal, psychdelic Folk to (acoustic) Electronic  LP"
4762,"Uplifting, bumping Trance-House tracks"
4763,Trancy big room Techno
4764,"Expressive, sonic Experimental / Free Jazz LP"
4765,Excellent rhythmic percussive Experimental / Jazz / Tribal compositions
4766,"Beautiful, deep Ambient spheres"
4767,Blissful Ambient spheres
4768,Cinemtatic Ambient Electronica
4769,Effective dubby Techno tools
4770,"High saturated ""freakish"" Techno workouts"
4771,"Straight, jacking Techno stompers"
4772,Atmospheric Electro/*nica soundtracks
4773,Atmospheric Electro/*nica soundtracks
4774,Intergalactic echos and elysian chords
4775,Atmospheric ambient escapes
4776,Far revebarated sound distillations
4777,"Raw, immersive & intergalactic Electronica journey"
4778,Stomping warehouse Techno
4779,"Diverse, effective, reduced Techno EP"
4780,"Widely reverberating, dreamy, banging Techno pounders"
4781,"Anthemic, raving, effective Techno bangers"
4782,"Driving, dreamy, spacious, slightly Trance infused big room Techno pounders"
4783,Re-issue of a Landmark Detroit Electro science album
4784,Tough kicking Industrial Techno darkness w/ killer Reeko remix bomb
4785,"10 Year Anniversary Special Edition of crucial Night Slugs release, comes w/ extra 7"" (w/ download code)"
4786,Superb UK House / Bass label compilation
4787,"Anthony Shakir, Martin Bonds & Strand produced Electro / Techno alliance from 1998"
4788,Highly effective big room Disco Techno anthems
4789,Highly atmospheric Techno-Trance mind-benders
4790,"Playful, harmonic & rhytmic Techno tracks"
4791,"Peak, boomy Techno tool pressures"
4792,"Superb, Detroitish, intergalactic House / Techno joints"
4793,"Effective, boomy Techno mini-compilation"
4794,"Absolutely killer, Felix K. & Ena prod. Drum & Bass / 'grey' Techno visions"
4795,Superb Drum & Bass distillations
4796,"Twisted, late 1990s Detroit schooled Techno EP"
4797,"Crafty, pure, effective Techno EP"
4798,Heavy DJ tool Techno bangers
4799,"Crisp, atmospheric Drum & Bass set"
4800,Re-Edits of a classic Running Back Deep House EP
4801,"Raw, effective Techno tracks"
4802,"Effective, percussive, Purpose Maker style Techno tools"
4803,Universe wide Ambient / Drone abstracts
4804,"Stunning, playful and effective Techno EP"
4805,Valuable high quality reissue of a Larry Heard production & eternal House super classic
4806,Perfect reissue of two classic warm Convextion prod. Electro / Detroit Techno EPs from 2007
4807,Reverberated & bleepy Techno trips
4808,Classic ace Techno patterns
4809,Circular trip through dreamy House & trancy Breaks
4810,Hard banging Techno boulders
4811,"Warm, dynamic Downtempo / Electronica journeys"
4812,Featherweight Drum & Bass flights
4813,Flawless Drum & Bass business
4814,"Uplifting, melodic Drum & Bass soundtracks"
4815,Spacious retro-futurist Electro floaters
4816,Classic raw 90s Techno/Electro rhythms
4817,"Subtly pulsating, spaced out, classy Ambient Techno EP - warehouse find - *white label"
4818,Reissue of sought-after 1990s Trance / House gems
4819,Delightful off-kilter Detroit house jam
4820,Feat. Amp Fiddler and Ideeyah. soulful Detroit deep house
4821,"Wicked, wobbly & forceful Dubstep tracks"
4822,"Playful, sound textured Techno / Bass Music  bouncers"
4823,Superb UK House / Bass label compilation
4824,Superb UK House / Bass label compilation
4825,"Shaking, uplifting House (party) tunes"
4826,Smart-stepping Techno cuts
4827,Slick & clean Drum & Bass floater
4828,"Perfect set of pure, jacking warehouse Techno jams"
4829,"Unmissable, original Chicago House beautifully presented by Dark Entries"
4830,"Traxx, Andrew Bisenius & Jason Letkiewicz produced 80s vintage New Age computer music reminiscent Electronica trips"
4831,"Flawless, stripped down Electro"
4832,Raw Deep House w/ Detroit feel
4833,Finger snapping good House Mixes
4834,High leveled Techno tracks
4835,"Ace, highly effective big room Techno package"
4836,Highly effective big room Techno EP
4837,Flawless varied Techno pounders
4838,"Fabulous, elastic, textured IDM Electro / Techno album, black vinyl edition"
4839,Reissue of 1995 (Dub) Techno / Electro cuts
4840,"Smooth, late night Deep House set"
4841,"Fresh, uplifting, smartly stepping IDM-Techno bangers"
4842,Compilation of remastered and partly unreleased Jungle / House / Bleep Techno / Breakbeat gems
4843,Re-issued Rave Techno travellers
4844,"Effective, boomy, stomping DJ tool Techno EP"
4845,Focused air-saturated Techno groovers
4846,"Raw, explorative psychedelic leftfield Electronic Music"
4847,"Careful, sublime Ambient Electronica album"
4848,Minimalist House trip
4849,Classy vintage Electronics leaning Ambient album (w/ download code)
4850,Robert Hood prod. driving Gospel House anthem b/w killer Disco-Techno
4851,Relentless Techno stompers
4852,Effective stripped down Techno
4853,"Wonderful, immersive, Carsten Nicolai prod. (Noise) Electronics score for Tanztheater Wuppertal Pina Bausch, 2021"
4854,"Percussive, slightly atmospheric Electro-Breaks"
4855,IDM Electronica touched Techno album
4856,"Well selected, direct, effective Techno mini-compilation"
4857,Varied energetic Techno mini compilation
4858,Playful catchy Garage-House
4859,"Harmonious Thelonious prod. warm, deep House / Downtempo journey"
4860,Valuable compilation presenting a defining selection for Glasgow's long time running party
4861,"Explorative, spaced- out (Breakbeat) Techno"
4862,"Functional, powerful Techno workouts"
4863,Atmospheric Beatdown / Hip Hop-Grime cut
4864,"Deep, atmospheric Techno floaters"
4865,"Driving, party-guaranteed House / Electro jams"
4866,Tripping Acid House longplayer
4867,"Deconstruced, futuristic ""Leftfield"" Bass explorers"
4868,Sparse droning Electronica purism
4869,"Distortive, hard industrial Techno pounders"
4870,"Spaced out, tensioned to meditative Techno EP"
4871,Unmindful Rave Techno.
4872,Straight forward Techno tracks
4873,Direct to atmospheric Techno tools
4874,Direct no-fuss Techno missiles
